year,Title,Director,Cast,Country,Subgenre/Notes,
1963,Atom Age Vampire,Anton Giulio Majano,Alberto Lupo, ,,
1963,Atragon,Ishirō Honda,Tadao Takashima, ,,
1963,The Crawling Hand,Herbert L. Strock,Peter Breck, ,,
1963,The Damned,Joseph Losey,MacDonald Carey, ,,
1963,The Day Mars Invaded Earth,Maury Dexter,Betty Beall, ,[19],
1963,Ikarie XB-1,Jindřich Polák,Otto Lackovič, ,[20],
1963,Kalai Arasi,A. Kasilingam,M. G. Ramachandran, ,,
1963,Matango,Ishirō Honda,Yoshio Tsuchiya, ,,
1963,No Survivors Please,Hans Albin,Karen Blanguernon, ,[22],
1963,The Nutty Professor,Jerry Lewis,Jerry Lewis, ,,
1963,Son of Flubber,Robert Stevenson,Fred MacMurray, ,,
1963,Steps to the Moon,Ion Popescu-Gopo,Radu Beligan, ,Romanian title: ,
1963,Unearthly Stranger,John Krish,John Neville, ,[25],
1963,X: The Man with the X-Ray Eyes,Roger Corman,Ray Milland, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
1964,The Creeping Terror,Vic Savage,Vic Savage Shannon O'Neil , ,
1964,Dogora,Ishirō Honda,Yosuke Natsuki, ,,
1964,First Men in the Moon,Nathan H. Juran,Edward Judd, ,,
1964,The Flesh Eaters,Jack Curtis,Martin Kosleck, ,,
1964,Ghidorah the Three-Headed Monster,Ishirō Honda,Yuriko Hoshi, ,,
1964,Kiss Me Quick!,Peter Perry,Frank A. Coe, ,,
1964,The Last Man on Earth,Ubaldo Ragona,Vincent Price, ,,
1964,Monstrosity,Joseph Mascelli,Frank Gerstle, ,[nb 3],
1964,Mothra vs. Godzilla,Ishirō Honda,Akira Takarada, ,,
1964,Pajama Party,Don Weis,Tommy Kirk, ,,
1964,Robinson Crusoe on Mars,Byron Haskin,Paul Mantee, ,,
1964,Santa Claus Conquers the Martians,Nicholas Webster,Pia Zadora, ,,
1964,The Time Travelers,Ib Melchior,Preston S. Foster, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
1965,The 10th Victim,Elio Petri,Marcello Mastroianni, ,,
1965,Alphaville,Jean-Luc Godard,Eddie Constantine, ,[nb 4],
1965,Crack in the World,Andrew Marton,Dana Andrews, ,,
1965,Curse of the Fly,Don Sharp,Brian Donlevy, ,,
1965,Dr. Goldfoot and the Bikini Machine,Norman Taurog,Vincent Price, ,,
1965,Dr. Who and the Daleks,Gordon Flemyng,Peter Cushing, ,,
1965,The Eye Creatures,Larry Buchanan,John Ashley, ,,
1965,Frankenstein Conquers the World,Ishirō Honda,Nick Adams, ,,
1965,Frankenstein Meets the Space Monster,Robert Gaffney,James Karen, ,,
1965,Gamera,Noriaki Yuasa,Eiji Funakoshi, ,,
1965,The Human Duplicators,Hugo Grimaldi,Richard Kiel, ,,
1965,Invasion,Alan Bridges,Edward Judd, ,,
1965,Invasion of Astro-Monster,Ishirō Honda,Nick Adams, ,
1965,It Happened Here,Andrew Mollo,Pauline Murray, ,,
1965,Monster a Go-Go!,Sheldon Seymour,Bill Rebane, ,,
1965,Mutiny in Outer Space,Hugo Grimaldi,William Leslie (actor), ,,
1965,Night Caller from Outer Space,John Gilling,John Saxon, ,,
1965,Planet of the Vampires,Mario Bava,Barry Sullivan, ,,
1965,Space Monster,Leonard Katzman,Francine York, ,[nb 5],
1965,Star Pilot,Pietro Francisci,Leonora Ruffo, ,,
1965,Village of the Giants,Bert I. Gordon,Tommy Kirk, ,,
1965,Voyage to the Prehistoric Planet,Pavel Klushantsev,Basil Rathbone, ,,
1965,War Gods of the Deep,Jacques Tourneur,Vincent Price, ,,
1965,Wild Wild Planet,Antonio Margheriti,Tony Russel, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
1966,Agent for H.A.R.M.,Gerd Oswald,Martin Kosleck, ,,
1966,Around the World Under the Sea,Andrew Marton,Lloyd Bridges, ,,
1966,Cyborg 2087,Franklin Adreon,Michael Rennie, ,
1966,Daleks - Invasion Earth: 2150 AD,Gordon Flemyng,Peter Cushing, ,,
1966,The Face of Another,Hiroshi Teshigahara,Tatsuya Nakadai, ,,
1966,Fahrenheit 451,François Truffaut,Oskar Werner, ,,
1966,Fantastic Voyage,Richard Fleischer,Stephen Boyd, ,[nb 6],
1966,Gamera vs. Barugon,Shigeo Tanaka,Kojiro Hongo, ,,
1966,Godzilla vs. the Sea Monster,Jun Fukuda,Akira Takarada, ,,
1966,Island of Terror,Terence Fisher,Peter Cushing, ,,
1966,The Navy vs. the Night Monsters,Michael A. Hoey,Mamie Van Doren, ,[27],
1966,Queen of Blood,Curtis Harrington,John Saxon, ,,
1966,Seconds,John Frankenheimer,Rock Hudson, ,,
1966,Terror Beneath the Sea,Hajime Sato,Sonny Chiba, ,[28],
1966,Thunderbirds Are Go,David Lane,, ,,
1966,War of the Gargantuas,Ishirō Honda,Russ Tamblyn, ,
1966,Who Wants to Kill Jessie?,Václav Vorlíček,Jiří Sovák, ,,
1966,Women of the Prehistoric Planet,Arthur C. Pierce,Wendell Corey, ,,
1966,Zontar the Thing from Venus,Larry Buchanan,John Agar, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
1967,The Andromeda Nebula,Yevgeny Sherstobitov,Via Artmane, ,,
1967,Gamera vs. Gyaos,Noriyaki Yuasa,Kojiro Hongo, ,,
1967,Journey to the Center of Time,David L. Hewitt,Scott Brady, ,,
1967,Jules Verne's Rocket to the Moon,Don Sharp,Burl Ives, ,Also called ,
1967,King Kong Escapes,Ishirō Honda,Rhodes Reason, ,,
1967,Mars Needs Women,Larry Buchanan,Tommy Kirk, ,,
1967,Mission Mars,Nicholas Webster,Darren McGavin, ,[29],
1967,Mission Stardust,Primo Zeglio,Lang Jeffries, ,[30],
1967,Night of the Big Heat,Terence Fisher,Peter Cushing, ,,
1967,Privilege,Peter Watkins,Paul Jones, ,,
1967,Quatermass and the Pit,Roy Ward Baker,James Donald, ,,
1967,In The Year 2889,Larry Buchanan,Paul Petersen,Azalea Pictures,,
1967,Son of Godzilla,Jun Fukuda,Akira Kubo, ,,
1967,They Came from Beyond Space,Freddie Francis,Robert Hutton, ,[32],
1967,The X from Outer Space,Kazui Nihonmatsu,Eiji Okada, ,,
1967,Yonggary,Kim Ki-duk,Moon Kang, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
1968,2001: A Space Odyssey,Stanley Kubrick,Keir Dullea, ,[nb 7],
1968,The Astro-Zombies,Ted V. Mikels,Wendell Corey, ,,
1968,Barbarella,Roger Vadim,Jane Fonda, ,,
1968,Charly,Ralph Nelson,Cliff Robertson, ,[nb 8],
1968,Countdown,Robert Altman,James Caan, ,,
1968,Destroy All Monsters,Ishirō Honda,Akira Kubo, ,,
1968,Goke Body Snatcher from Hell,Hajime Sato,, ,,
1968,The Green Slime,Kinji Fukasaku,Robert Horton, ,,
1968,Je t'aime je t'aime,Alain Resnais,Claude Rich, ,[33],
1968,Planet of the Apes,Franklin J. Schaffner,Charlton Heston, ,,
1968,The Power,Byron Haskin,George Hamilton, ,,
1968,Project X,William Castle,Christopher George, ,[34],
1968,Voyage to the Planet of Prehistoric Women,Peter Bogdanovich,Mamie Van Doren, ,,
1968,Wild in the Streets,Barry Shear,Christopher Jones, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
1969,All Monsters Attack,Ishirō Honda,Tomonori Yazaki, ,,
1969,Captain Nemo and the Underwater City,James H. Hill,Robert Ryan, ,,
1969,The Computer Wore Tennis Shoes,Robert Butler,Kurt Russell, ,,
1969,Crimes of the Future,David Cronenberg,Ronald Mlodzik, ,,
1969,Doppelgänger,Robert Parrish,Roy Thinnes, ,[nb 9],
1969,The Gladiators,Peter Watkins,Arthur Pentelow, ,,
1969,Gamera vs. Guiron,Noriyaki Yuasa,Nobuhiro Kashima, ,,
1969,I Killed Einstein Gentlemen,Oldřich Lipský,Jiří Sovák, ,,
1969,The Illustrated Man (film),Jack Smight,Rod Steiger, ,[35],
1969,Latitude Zero,Ishirō Honda,Joseph Cotten, ,,
1969,The Mad Doctor of Blood Island,Gerardo de León,John Ashley, ,[36],
1969,The Man Who Thought Life,Jens Ravn,John Price, ,,
1969,Marooned,John Sturges,Gregory Peck, ,[nb 10],
1969,The Monitors,Jack Shea,Guy Stockwell, ,Satire,
1969,Moon Zero Two,Roy Ward Baker,James Olson, ,,
1969,Night of the Bloody Apes,René Cardona,José Moreno, ,,
1969,Stereo,David Cronenberg,Jack Messinger, ,,
1969,A Time of Roses,Risto Jarva,Arto Tuominen, ,,
1969,The Valley of Gwangi,Jim O'Connolly,James Franciscus, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
1970,Beneath the Planet of the Apes,Ted Post,James Franciscus, ,,
1970,Colossus: The Forbin Project,Joseph Sargent,Eric Braeden, ,[nb 1],
1970,Crimes of the Future,David Cronenberg,Ronald Mlodzik, ,,
1970,Gamera vs. Jiger,Noriaki Yuasa,Tsutomu Takakuwa, ,,
1970,Gas-s-s-s,Roger Corman,Robert Corff, ,,
1970,I Killed Einstein Gentlemen,Oldřich Lipský,Jiří Sovák, ,,
1970,The Mind of Mr. Soames,Alan Cooke,Terence Stamp, ,,
1970,No Blade of Grass,Cornel Wilde,Nigel Davenport, ,,
1970,On the Comet,Karel Zeman,Emil Horváth, ,,
1970,Scream and Scream Again,Gordon Hessler,Vincent Price, ,,
1970,Signals - A Space Adventure,Gottfried Kolditz,Piotr Pawłowski, ,German title: ,
1970,Skullduggery,Gordon Douglas,Burt Reynolds, ,,
1970,Space Amoeba,Ishirō Honda,Akira Kubo, ,,
1970,Toomorrow,Val Guest,Olivia Newton-John, ,,
1970,When Dinosaurs Ruled the Earth,Val Guest,Victoria Vetri, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
1971,The Andromeda Strain,Robert Wise,James Olson, ,,
1971,Escape from the Planet of the Apes,Don Taylor,Roddy McDowall, ,,
1971,Gamera vs. Zigra,Noriaki Yuasa,Koji Fujiyama, ,,
1971,Glen and Randa,Jim McBride,Steven Curry, ,,
1971,Godzilla vs. Hedorah,Yoshimitsu Banno,Akira Yamauchi, ,,
1971,Haytabo,Ulli Lommel,Eddie Constantine, ,[5],
1971,The Incredible 2-Headed Transplant,Anthony Lanza,Bruce Dern, ,,
1971,The Million Dollar Duck,Vincent McEveety,Dean Jones, ,,
1971,The Omega Man,Boris Sagal,Charlton Heston, ,,
1971,Out of the Darkness,Chatrichalerm Yukol,Sorapong Chatree, ,,
1971,Quest for Love,Ralph Thomas,Joan Collins, ,,
1971,The Resurrection of Zachary Wheeler,Bob Wynn,Leslie Nielsen, ,,
1971,THX 1138,George Lucas,Robert Duvall, ,,
1971,You Are a Widow Sir,Václav Vorlíček,Iva Janžurová, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
1972,Beware! The Blob,Larry Hagman,Robert Walker Jr., ,,
1972,The Boy Who Turned Yellow,Michael Powell,Mark Dightam, ,,
1972,Conquest of the Planet of the Apes,J. Lee Thompson,Roddy McDowall, ,,
1972,Doomsday Machine,Herbert J. Leder,Bobby Van, ,,
1972,Doomwatch,Peter Sasdy,Ian Bannen, ,,
1972,Eolomea,Herrmann Zschoche,Cox Habbema, ,,
1972,Godzilla vs. Gigan,Jun Fukuda,Hiroshi Ishikawa, ,,
1972,The Happiness Cage,Bernard Girard,Christopher Walken, ,,
1972,Horror Express,Eugenio Martin,Telly Savalas, ,,
1972,Love 2002,Joachim Hellwig,Chris Wallasch, ,Short film. German title: ,
1972,Man with the Transplanted Brain,Jacques Doniol-Valcroze,Mathieu Carrière, ,,
1972,Night of the Lepus,William F. Claxton,Stuart Whitman, ,,
1972,Now You See Him Now You Don't,Robert Butler,Kurt Russell, ,,
1972,Silent Running,Douglas Trumbull,Bruce Dern, ,,
1972,Slaughterhouse Five,George Roy Hill,Michael Sacks, ,[nb 2],
1972,Solaris,Andrey Tarkovskiy,Natal'ya Bondarchuk, ,[nb 3],
1972,The Thing with Two Heads,Lee Frost,Rosey Grier, ,,
1972,The Twilight People,Eddie Romero,Pam Grier, ,,
1972,Z.P.G.,Michael Campus,Oliver Reed, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
1973,Battle for the Planet of the Apes,J. Lee Thompson,Roddy McDowall, ,,
1973,Beyond Atlantis,Eddie Romero,Patrick Wayne, ,,
1973,The Crazies,George A. Romero,Lane Carroll, ,,
1973,Digby the Biggest Dog in the World,Joseph McGrath,Jim Dale,,,
1973,The Day of the Dolphin,Mike Nichols,George C. Scott, ,,
1973,Fantastic Planet,René Laloux,Jennifer Drake, ,Animated film,
1973,The Final Programme,Robert Fuest,Jon Finch, ,,
1973,Godzilla vs. Megalon,Jun Fukuda,Katsuhiko Sasaki, ,,
1973,Idaho Transfer,Peter Fonda,Kelly Bohanon, ,,
1973,Invasion of the Bee Girls,Denis Sanders,William Smith, ,,
1973,Ivan Vasilievich: Back to the Future,Leonid Gayday,Yuriy Yakovlev, ,,
1973,Murder in a Blue World,Eloy de la Iglesia,Sue Lyon, ,,
1973,The Neptune Factor,Daniel Petrie,Ben Gazzara, ,,
1973,Nihon Chinbotsu,Shiro Moritani,Keiju Kobayashi, ,,
1973,Sleeper,Woody Allen,Woody Allen, ,[nb 4],
1973,Soylent Green,Richard Fleischer,Charlton Heston, ,[nb 5],
1973,Westworld,Michael Crichton,Yul Brynner, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
1974,And Now My Love,Claude Lelouch,Marthe Keller, ,,
1974,Chosen Survivors,Sutton Roley,Jackie Cooper, ,,
1974,Dark Star,John Carpenter,Dan O'Bannon, ,[nb 6],
1974,ESPY,Jun Fukuda,Hiroshi Fujioka, ,,
1974,Flesh Gordon,Michael Benveniste,Jason Williams, ,,
1974,Godzilla vs. Mechagodzilla,Jun Fukuda,Masaaki Daimon, ,,
1974,Invasion from Inner Earth,Bill Rebane,Paul Bentzen, ,,
1974,The Island at the Top of the World,Robert Stevenson,David Hartman, ,,
1974,The Little Prince,Stanley Donen,Richard Kiley, ,,
1974,Memoria,Francisco Macián,Fernando Sancho, ,Live-action/animation film. Made in 1974 released in 1978. Alternative title: ,
1974,Morel's Invention,Emidio Greco,Giulio Brogi, ,,
1974,Moscow-Cassiopeia,Richard Viktorov,Innokentiy Smoktunovskiy, ,,
1974,The Mutations,Jack Cardiff,Donald Pleasence, ,,
1974,Phase IV,Saul Bass,Nigel Davenport, ,,
1974,Prophecies of Nostradamus,Toshio Masuda,Tetsuro Tamba, ,,
1974,Space Is the Place,John Coney,Barbara Deloney, ,,
1974,The Terminal Man,Mike Hodges,George Segal, ,,
1974,UFO: Target Earth,Michael A. DeGaetano,Nick Plakias, ,,
1974,Zardoz,John Boorman,Sean Connery, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
1975,Adventures with Blasius,Egon Schlegel,Leoš Suchařípa, ,Children's film. German title: ,
1975,A Boy and His Dog,L.Q. Jones,Don Johnson, ,[nb 7],
1975,Black Moon,Louis Malle,Cathryn Harrison, ,,
1975,Bug,Jeannot Szwarc,Bradford Dillman, ,,
1975,Death Race 2000,Paul Bartel,David Carradine, ,,
1975,Escape to Witch Mountain,John Hough,Eddie Albert, ,,
1975,Flowers for the Man in the Moon,Rolf Losansky,Jutta Wachowiak, ,Children's film. German title: ,
1975,Footprints on the Moon,Luigi Bazzoni,Florinda Bolkan, ,,
1975,The Giant Spider Invasion,Bill Rebane,Steve Brodie, ,,
1975,Hu-Man,Jérôme Laperrousaz,Terence Stamp, ,,
1975,Hyperion,Mircea Veroiu,Adela Mărculescu, ,[31],
1975,The Land That Time Forgot,Kevin Connor,Doug McClure, ,,
1975,A Long Return,Pedro Lazaga,Mark Burns, ,,
1975,The Noah,Daniel Bourla,Robert Strauss, ,,
1975,The Rocky Horror Picture Show,Jim Sharman,Tim Curry, ,,
1975,Rollerball,Norman Jewison,James Caan, ,[nb 8],
1975,Shivers,David Cronenberg,Paul Hampton, ,,
1975,The Stepford Wives,Bryan Forbes,Katharine Ross, ,,
1975,The Strongest Man in the World,Vincent McEveety,Kurt Russell, ,,
1975,The Super Inframan,Hua-Shan,Danny Lee, ,,
1975,Teens in the Universe,Richard Viktorov,Mikhail Yershov, ,,
1975,Terror of Mechagodzilla,Ishirō Honda,Katsuhiko Sasaki, ,,
1975,The Ultimate Warrior,Robert Clouse,Yul Brynner, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
1976,Any Day Now,Roeland Kerbosch,Ansje van Brandenberg, ,,
1976,At the Earth's Core,Kevin Connor,Doug McClure, ,,
1976,Embryo,Ralph Nelson,Rock Hudson, ,,
1976,The Food of the Gods,Bert I. Gordon,Marjoe Gortner, ,,
1976,Futureworld,Richard T. Heffron,Peter Fonda, ,,
1976,God Told Me To,Larry Cohen,Tony Lo Bianco, ,,
1976,In the Dust of the Stars,Gottfried Kolditz,Jana Brejchová, ,,
1976,Logan's Run,Michael Anderson,Michael York, ,[nb 9],
1976,The Man Who Fell to Earth,Nicolas Roeg,David Bowie, ,[nb 10],
1976,The Rat Savior,Krsto Papić,Ivica Vidović, ,,
1976,Tomorrow's Children,Jean Pourtalé,Niels Arestrup, ,Post-apocalyptic. French title: ,
year,Title,Director,Cast,Country,Subgenre/Notes,
1977,Capricorn One,Peter Hyams,Elliot Gould, ,,
1977,Close Encounters of the Third Kind,Steven Spielberg,Richard Dreyfuss, ,[nb 11],
1977,Cosmos: War of the Planets,Alfonso Brescia,John Richardson, ,,
1977,Damnation Alley,Jack Smight,Jan-Michael Vincent, ,,
1977,Demon Seed,Donald Cammell,Julie Christie, ,,
1977,Empire of the Ants,Bert I. Gordon,Joan Collins, ,,
1977,End of the World,John Hayes,Christopher Lee, ,,
1977,The Glitterball,Harley Cockliss,Ben Buckton, ,,
1977,Great Plates of Malikov,Jaromil Jireš,Vlastimil Brodský, ,,
1977,The Incredible Melting Man,William Sachs,Alex Rebar, ,,
1977,The Island of Dr. Moreau,Don Taylor,Burt Lancaster, ,,
1977,Kingdom of the Spiders,John Cardos,William Shatner, ,,
1977,Legend of Dinosaurs & Monster Birds,Junji Kurata,Tsunehiko Watase, ,,
1977,A Nice Plate of Spinach,Václav Vorlíček,Vladimír Menšík, ,,
1977,The People That Time Forgot,Kevin Connor,Patrick Wayne, ,,
1977,Planet of Dinosaurs,James K. Shea,Mary Appleseth, ,,
1977,Polygon,Anatoliy Petrov,Anatoliy Kuznetsov, ,,
1977,Prey,Norman J. Warren,Barry Stokes, ,,
1977,Rabid,David Cronenberg,Marilyn Chambers, ,,
1977,Space Battleship Yamato,Toshio Masuda,Gorô Naya, ,First theatrical ,
1977,Star Wars,George Lucas,Mark Hamill, ,[nb 12],
1977,Starship Invasions,Ed Hunt,Robert Vaughn, ,,
1977,Tomorrow I'll Wake Up and Scald Myself with Tea,Jindřich Polák,Petr Kostka, ,,
1977,The War in Space,Jun Fukuda,Kensaku Morita, ,,
1977,Welcome to Blood City,Peter Sasdy,Jack Palance, ,,
1977,Wizards,Ralph Bakshi,Jesse Welles, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
1978,The Alien Factor,Donald M. Dohler,Don Leifert, ,,
1978,The Alpha Incident,Bill Rebane,Ralph Meeker, ,,
1978,The Bermuda Triangle,René Cardona Jr.,John Huston, ,,
1978,Blue Christmas,Kihachi Okamoto,Hiroshi Katsuno, ,,
1978,The Boys from Brazil,Franklin J. Schaffner,Gregory Peck, ,,
1978,The Cat from Outer Space,Norman Tokar,Ken Berry, ,,
1978,Deathsport,Allan Arkush,David Carradine, ,,
1978,Farewell to Space Battleship Yamato: In the Name of Love,Toshio Masuda,Kei Tomiyama, ,Second theatrical ,
1978,Hardware Wars,Ernie Fosselius,Frank Robertson, ,,
1978,Invasion of the Body Snatchers,Philip Kaufman,Donald Sutherland, ,[nb 13],
1978,Laserblast,Michael Rae,Kim Milford, ,,
1978,The Medusa Touch,Jack Gold,Richard Burton, ,,
1978,Message from Space,Kinji Fukasaku,Vic Morrow, ,,
1978,Return from Witch Mountain,John Hough,Bette Davis, ,,
1978,Science Ninja Team Gatchaman: The Movie,Hisayuki Toriumi,Katsuji Mori, ,,
1978,Starcrash,Luigi Cozzi,Marjoe Gortner, ,,
1978,Superman,Richard Donner,Marlon Brando, ,[nb 14],
1978,The Swarm,Irwin Allen,Michael Caine, ,,
1978,Warlords of Atlantis,Kevin Connor,Doug McClure, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
1979,Alien,Ridley Scott,Sigourney Weaver, ,[nb 15],
1979,El Año de la Peste,Felipe Cazals,Alejandro Parodi, ,,
1979,The Black Hole,Gary Nelson,Maximilian Schell, ,,
1979,The Brood,David Cronenberg,Oliver Reed, ,,
1979,Buck Rogers in the 25th Century,Daniel Haller,Gil Gerard, ,,
1979,The Fortress,Miklós Szinetár,Bella Tanay, ,,
1979,Galaxy Express 999,Rintaro,Masako Nozawa, ,,
1979,G.I. Samurai,Kosei Saito,Sonny Chiba, ,,
1979,Goldengirl,Joseph Sargent,Susan Anton, ,,
1979,H. G. Wells' The Shape of Things to Come,George McCowan,Jack Palance, ,,
1979,The Hamburg Syndrome,Peter Fleischmann,Helmut Griem, ,,
1979,The Humanoid,Aldo Lado,Richard Kiel, ,,
1979,Inquest of Pilot Pirx,Marek Piestrak,Sergey Desnitskiy, ,,
1979,Island of the Fishmen,Sergio Martino,Barbara Bach, ,,
1979,Little Orbit the Astrodog and the Screechers from Outer Space,Jean Image,, ,,
1979,Mad Max,George Miller,Mel Gibson, ,,
1979,The Medic,Pierre Granier-Deferre,Alain Delon, ,,
1979,Meteor,Ronald Neame,Sean Connery, ,,
1979,Moonraker,Lewis Gilbert,Roger Moore, ,,
1979,Phantasm,Don Coscarelli,Michael Baldwin, ,,
1979,Plague,Ed Hunt,Daniel Pilon, ,,
1979,Quintet,Robert Altman,Paul Newman, ,,
1979,Ravagers,Richard Compton,Richard Harris, ,,
1979,Spaced Out,Norman J. Warren,Barry Stokes, ,,
1979,Stalker,Andrey Tarkovskiy,Alisa Freyndlikh, ,,
1979,Star Trek: The Motion Picture,Robert Wise,William Shatner, ,,
1979,Supersonic Man,Juan Piquer Simón,Antonio Cantafora, ,Superhero film,
1979,The Thing in the Castle,Gottfried Kolditz,Erwin Geschonneck, ,German title: ,
1979,Thirst,Rod Hardy,Chantal Contouri, ,,
1979,Time After Time,Nicholas Meyer,Malcolm McDowell, ,,
1979,Unidentified Flying Oddball,Russ Mayberry,Dennis Dugan, ,,
1979,I viaggiatori della sera,Ugo Tognazzi,Ugo Tognazzi, ,,
1979,The Visitor,Giulio Paradisi,Mel Ferrer, ,,
year,Year,Title,Director,Cast,Country,Subgenre/Notes,
1980,The Alien Dead,Fred Olen Ray,Buster Crabbe, ,,
1980,Altered States,Ken Russell,William Hurt, ,,
1980,Battle Beyond the Stars,Jimmy Murakami,George Peppard, ,,
1980,Be Forever Yamato,Toshio Masuda,Kei Tomiyama, ,Third theatrical ,
1980,Brave New World,Burt Brinckerhoff,Kristoffer Tabori, ,,
1980,Contamination,Luigi Cozzi,Ian McCulloch, ,,
1980,Crazy Thunder Road,Sōgo Ishii,Tatsuo Yamada, ,,
1980,Cyborg 009: Legend of the Super Vortex,Masayuki Akehi,Kazuhiko Inoue, ,Anime film,
1980,Death Watch,Bertrand Tavernier,Romy Schneider, ,,
1980,The Empire Strikes Back,Irvin Kershner,Mark Hamill, ,[nb 1],
1980,The Final Countdown,Don Taylor,Kirk Douglas, ,,
1980,Flash Gordon,Mike Hodges,Sam J. Jones, ,,
1980,Galaxina,William Sachs,Stephen Macht, ,,
1980,Golem,Piotr Szulkin,Marek Walczewski, ,,
1980,Hangar 18,James L. Conway,Darren McGavin, ,,
1980,The Lathe of Heaven,David Loxton,Bruce Davison, ,,
1980,Phoenix 2772,Taku Sugiyama,Kaneto Shiozawa, ,Anime film,
1980,Saturn 3,Stanley Donen,Farrah Fawcett, ,,
1980,Somewhere in Time,Jeannot Szwarc,Christopher Reeve, ,,
1980,Superman II,Richard Lester,Gene Hackman, ,,
1980,Toward the Terra,Hideo Onchi,Junichi Inoue, ,Anime film,
1980,Virus,Kinji Fukasaku,Masao Kusakari, ,,
1981,Adieu Galaxy Express 999,Rintaro,Masako Nozawa, ,Anime film,
1981,Earthbound,James L. Conway,Burl Ives, ,,
1981,Escape from New York,John Carpenter,Kurt Russell, ,,
1981,Galaxy of Terror,B. D. Clark,Edward Albert, ,,
1981,Heartbeeps,Allan Arkush,Andy Kaufman, ,,
1981,Heavy Metal,Gerald Potterton,Rodger Bumpass, ,Animated film,
1981,The Incredible Shrinking Woman,Joel Schumacher,Lily Tomlin, ,,
1981,Inseminoid,Norman J. Warren,Judy Geeson, ,USA title: ,
1981,The Last Chase,Martyn Burke,Lee Majors, ,,
1981,Looker,Michael Crichton,Albert Finney, ,,
1981,Mad Max 2,George Miller,Mel Gibson, ,,
1981,Malevil,Christian de Chalonge,Michel Serrault, ,,
1981,Memoirs of a Survivor,David Gladwell,Julie Christie, ,,
1981,Mobile Suit Gundam,Ryôji Fujiwara,Tôru Furuya, ,Anime film,
1981,Mobile Suit Gundam II: Soldiers of Sorrow,Yoshikazu Yasuhiko,Tôru Furuya, ,Anime film,
1981,Mystery of the Third Planet,Roman Kachanov,Olga Gromova (voice) Yuri Andreyev (voice) , ,Animated film,
1981,Outland,Peter Hyams,Sean Connery, ,,
1981,Per Aspera Ad Astra,Richard Viktorov,Aleksandr Mikhajlov, ,Alternate titles: ,
1981,Scanners,David Cronenberg,Stephen Lack, ,,
1981,Scared to Death,William Malone,John Stinson, ,,
1981,Visitors from the Galaxy,Dušan Vukotić,Ljubiša Samardžić, ,[1],
1981,The War of the Worlds: Next Century,Piotr Szulkin,Roman Wilhelmi, ,,
1982,1990: The Bronx Warriors,Enzo G. Castellari,Vic Morrow, ,,
1982,The Aftermath,Steve Barkett,Sid Haig, ,UK title: ,
1982,Airplane II: The Sequel,Ken Finkleman,Robert Hays, ,,
1982,Anno 2020 - I gladiatori del futuro,Joe D'Amato,Harrison Muller, ,[2],
1982,Android,Aaron Lipstadt,Klaus Kinski, ,[nb 2],
1982,Andromeda Stories,Masamitsu Sasaki,Mami Koyama, ,Anime film,
1982,Arcadia of My Youth,Tomoharu Katsumata,Makio Inoue, ,Anime film,
1982,Blade Runner,Ridley Scott,Harrison Ford, ,[nb 3],
1982,Burst City,Sōgo Ishii,Michirou Endo, ,,
1982,Café Flesh,Stephen Sayadian,Michelle Bauer, ,,
1982,Cat People,Paul Schrader,Nastassja Kinski, ,,
1982,Chronopolis,Piotr Kamler,, ,Animated film,
1982,Crosstalk,Mark Egerton,Gary Day, ,,
1982,E.T. the Extra-Terrestrial,Steven Spielberg,Henry Thomas, ,[nb 4],
1982,Endangered Species,Alan Rudolph,Robert Urich, ,[3],
1982,Forbidden World,Allan Holzman,Jesse Vint, ,,
1982,Kamikaze 1989,Wolf Gremm,Rainer Werner Fassbinder, ,[4],
1982,The Masters of Time,René Laloux,Jean Valmont, ,Animated film,
1982,Megaforce,Hal Needham,Barry Bostwick, ,,
1982,Mobile Suit Gundam III: Encounters in Space,Yoshiyuki Tomino,Tôru Furuya, ,Anime film,
1982,The New Barbarians,Enzo G. Castellari,Fred Williamson, ,[nb 5],
1982,Nightbeast,Don Dohler,Donald Leifert, ,Horror,
1982,Parasite,Charles Band,Robert Glaudini, ,Horror,
1982,Queen Millennia,Masayuki Akehi,Keiko Han, ,Anime film,
1982,Space Adventure Cobra,Osamu Dezaki,Shigeru Matsuzaki, ,Anime film,
1982,Star Trek II: The Wrath of Khan,Nicholas Meyer,William Shatner, ,[nb 6],
1982,Swamp Thing,Wes Craven,Louis Jourdan, ,,
1982,The Thing,John Carpenter,Kurt Russell, ,[nb 7],
