year,Title,Director,Cast,Country,Subgenre/Notes,
1938,Flash Gordon's Trip to Mars,Beebe Ford,000000001938-03-31-0000,Larry "Buster" Crabbe,United States,Film serial with 15 chapters,[71],
1938,Flight to Fame,Coleman Jr. C. C.,000000001938-10-12-0000,Charles Farrell,United States,,[82],
1939,Son of Frankenstein,Lee Rowland V.,000000001939-01-13-0000,Basil Rathbone,United States,,[85],
1939,Buck Rogers,Beebe Ford,000000001939-04-11-0000,Larry "Buster" Crabbe,United States,Film serial with 12 chapters,[88],
1939,Man They Could Not Hang !,Grinde Nick,000000001939-08-17-0000,Boris Karloff,United States,,[90],
1939,Phantom Creeps !,Beebe Ford,000000001939-08-01-0000,Bela Lugosi,United States,Film serial with 12 chapters,[90],
1939,Return of Doctor X !,Sherman Vincent,000000001939-11-23-0000,Humphrey Bogart,United States,,[95],
year,Title,Director,Cast,Country,Subgenre/Notes,
1940,The Ape,William Nigh,Boris Karloff, ,,
1940,Before I Hang,Nick Grinde,Boris Karloff, ,,
1940,Black Friday,Arthur Lubin,Boris Karloff, ,,
1940,The Devil Bat,Jean Yarborough,Bela Lugosi, ,,
1940,Dr. Cyclops,Ernest B. Schoedsack,Albert Dekker, ,,
1940,Flash Gordon Conquers the Universe,Ford I. Beebe,Harry C. Bradley, ,Serial film,
1940,The Invisible Man Returns,Joe May,Cedric Hardwicke, ,,
1940,The Invisible Woman,Edward Sutherland,Virginia Bruce, ,,
1940,Mysterious Doctor Satan,Jon English,Edwin Stanley, ,Serial film,
1940,Son of Ingagi,Richard Kahn,Zack Williams Laura Bowman , ,,
1940,Weltraumschiff 1 startet ...,Anton Kutter,Carl Wery, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
1941,The Devil Commands,Edward Dmytryk,Boris Karloff, ,,
1941,Dr. Jekyll and Mr. Hyde,Victor Fleming,Spencer Tracy, ,,
1941,Tainstvennyy ostrov,Eduard Penclin,Alexej Krasnopolsky, ,adaptation of the 1874 novel by ,
1941,Man Made Monster,George Waggner,Lionel Atwill, ,,
1941,Monster and the Girl,Stuart Heisler,Ellen Drew, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
1942,Bowery at Midnight,Wallace W. Fox,Bela Lugosi, ,,
1942,The Corpse Vanishes,Wallace W. Fox,Bela Lugosi, ,,
1942,Dr. Renault's Secret,Harry Lachman,J. Carrol Naish, ,,
1942,Invisible Agent,Edwin L. Marin,Ilona Massey, ,,
1942,The Mad Monster,Sam Newfield,Johnny Downs, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
1943,The Ape Man,William Beaudine,Bela Lugosi, ,,
1943,The Mad Ghoul,James Hogan,David Bruce, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
1944,The Invisible Man's Revenge,Ford Beebe,Jon Hall, ,,
1944,The Lady and the Monster,George Sherman,Vera Ralston, ,,
1944,The Monster Maker,Sam Newfield,J. Carrol Naish, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
1945,Manhunt of Mystery Island,Spencer Gordon Bennet,Linda Stirling, ,Serial film,
1945,The Man in Half Moon Street,Ralph Murphy,Nils Asther, ,,
1945,The Monster and the Ape,Howard Bretherton,Robert Lowery, ,Serial film,
1945,The Purple Monster Strikes,Spencer Gordon Bennet,Linda Stirling, ,Serial film,
1945,Strange Holiday,Arch Oboler,Griff Barnett, ,[1],
year,Title,Director,Cast,Country,Subgenre/Notes,
1946,The Crimson Ghost,Fred C. Brannon,Forrest Taylor, ,Serial film,
1946,The Flying Serpent,Sam Newfield,George Zucco, ,Mad scientist,
1946,The Mysterious Mr. M,Lewis D. Collins,Richard Martin, ,Serial film,
year,Title,Director,Cast,Country,Subgenre/Notes,
1947,The Black Widow,Spencer Gordon Bennet,Bruce Edwards, ,Serial film,
1947,Brick Bradford,Spencer Gordon Bennet,Kane Richmond, ,Serial film,
1947,Jack Armstrong,Wallace Fox,John Hart, ,Serial film,
year,Title,Director,Cast,Country,Subgenre/Notes,
1948,Chemistry and Love,Arthur Maria Rabenalt,Hans Nielsen, ,Comedy,
1948,Counterblast,Paul L. Stein,Mervyn Johns, ,[3],
1948,Krakatit,Otakar Vávra,Karel Höger, ,,
1948,Unknown Island,Jack Bernhard,Virginia Grey, ,[5],
year,Title,Director,Cast,Country,Subgenre/Notes,
1949,Bruce Gentry,Spencer Gordon Bennet,Tom Neal, ,Serial film,
1949,King of the Rocket Men,Fred C. Brannon,Tristram Coffin, ,Serial film,
1949,Mighty Joe Young,Ernest B. Schoedsack,Terry Moore, ,,
1949,The Perfect Woman,Bernard Knowles,Patricia Roc, ,[6],
year,Title,Director,Cast,Country,Subgenre/Notes,
1950,Destination Moon,Irving Pichel,Warner Anderson, ,[nb 1],
1950,Flying Disc Man from Mars,Fred C. Brannon,Kent Fowler, ,Serial film,
1950,The Flying Saucer,Mikel Conrad,Mikel Conrad, ,,
1950,The Invisible Monster,Fred C. Brannon,Stanley Price, ,Serial film,
1950,Prehistoric Women,Gregg G. Tallas,Laurette Luez, ,,
1950,Rocketship X-M,Kurt Neumann,Lloyd Bridges, ,,
1950,Two Lost Worlds,Norman Dawn,James Arness, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
1951,Abbott and Costello Meet the Invisible Man,Charles Lamont,Bud Abbott, ,,
1951,Captain Video: Master of the Stratosphere,Spencer Gordon Bennet,Judd Holdren, ,Serial film,
1951,The Day the Earth Stood Still,Robert Wise,Michael Rennie, ,[nb 2],
1951,Five,Arch Oboler,William Phipps, ,,
1951,Flight to Mars,Lesley Selander,Marguerite Chapman, ,,
1951,I'll Never Forget You,Roy Ward Baker,Tyrone Power, ,,
1951,Lost Continent,Sam Newfield,Cesar Romero, ,,
1951,Lost Planet Airmen,Fred C. Brannon,Tristram Coffin, ,[nb 3],
1951,The Man from Planet X,Edgar G. Ulmer,Robert Clarke, ,,
1951,The Man in the White Suit,Alexander Mackendrick,Alec Guinness, ,,
1951,Mysterious Island,Spencer Gordon Bennet,Richard Crane, ,Serial film,
1951,Superman and the Mole Men,Lee Sholem,George Reeves, ,,
1951,The Thing from Another World,Christian Nyby,Margaret Sheridan, ,,
1951,Unknown World,Terrell O. Morse,Bruce Kellogg, ,,
1951,When Worlds Collide,Rudolph Maté,Richard Derr, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
1952,Alraune,Arthur Maria Rabenalt,Hildegard Knef, ,,
1952,April 1 2000,Wolfgang Liebeneiner,Hilde Krahl, ,[nb 4],
1952,Captive Women,Stuart Gilmore,Robert Clarke, ,[nb 5],
1952,The Jungle,William A. Berke,Rod Cameron, ,[2],
1952,Radar Men from the Moon,Fred C. Brannon,George Wallace, ,Serial film,
1952,Red Planet Mars,Harry Horner,Peter Graves, ,,
1952,Untamed Women,Merle W. Connell,Mikel Conrad, ,,
1952,Zombies of the Stratosphere,Fred C. Brannon,Judd Holdren, ,Serial film,
year,Title,Director,Cast,Country,Subgenre/Notes,
1953,Abbott and Costello Go to Mars,Charles Lamont,Bud Abbott, ,,
1953,Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,Charles Lamont,Bud Abbott, ,,
1953,The Beast from 20000 Fathoms,Eugène Lourié,Paul Christian, ,,
1953,Cat-Women of the Moon,Arthur D. Hilton,Sonny Tufts, ,[nb 6],
1953,Commando Cody: Sky Marshal of the Universe,Harry Keller,Judd Holdren, ,Serial film,
1953,Donovan's Brain,Felix E. Feist,Lew Ayres, ,,
1953,Four Sided Triangle,Terence Fisher,Barbara Payton, ,,
1953,Invaders from Mars,William Cameron Menzies,Jimmy Hunt, ,,
1953,It Came from Outer Space,Jack Arnold,Richard Carlson, ,,
1953,The Lost Planet,Spencer Gordon Bennet,Judd Holdren, ,Serial film,
1953,The Magnetic Monster,Curt Siodmak,Richard Carlson, ,,
1953,Mesa of Lost Women,Herbert Tevos,Jackie Coogan, ,,
1953,The Neanderthal Man,Ewald Andre Dupont,Robert Shayne, ,,
1953,Phantom from Space,W. Lee Wilder,Ted Cooper, ,,
1953,Port Sinister,Harold Daniels,James Warren, ,[nb 7],
1953,Project Moonbase,Richard Talmadge,Donna Martell, ,,
1953,Robot Monster,Phil Tucker,George Nader, ,[nb 8],
1953,Spaceways,Terence Fisher,Howard Duff, ,,
1953,The Twonky,Arch Oboler,Hans Conried, ,[3],
1953,The War of the Worlds,Byron Haskin,Gene Barry, ,[nb 9],
year,Title,Director,Cast,Country,Subgenre/Notes,
1954,20000 Leagues Under the Sea,Richard Fleischer,Kirk Douglas, ,[nb 10],
1954,Crash of Moons,Hollingsworth Morse,Richard Crane, ,[nb 11],
1954,Creature from the Black Lagoon,Jack Arnold,Richard Carlson, ,,
1954,Devil Girl from Mars,David MacDonald,Patricia Laffan, ,,
1954,Gojira,Ishirō Honda,Akira Takarada, ,,
1954,Gog,Ivan Tors,Richard Egan, ,,
1954,Killers from Space,W. Lee Wilder,Peter Graves, ,,
1954,Monster from The Ocean Floor,Wyott Ordung,Anne Kimball, ,,
1954,Riders to the Stars,Richard Carlson,William Lundigan, ,,
1954,Snow Creature,W. Lee Wilder,William Phipps, ,,
1954,Stranger From Venus,Burt Balaban,Patricia Neal, ,[4],
1954,Target Earth,Sherman A. Rose,Richard Denning, ,,
1954,Them!,Gordon Douglas,James Whitmore, ,,
1954,Tobor the Great,Lee Sholem,Charles Drake, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
1955,The Beast with a Million Eyes,David Kramarsky,Paul Birch, ,[5],
1955,Bride of the Monster,Edward D. Wood Jr.,Bela Lugosi, ,,
1955,Creature with the Atom Brain,Edward L. Cahn,Richard Denning, ,[7],
1955,Conquest of Space,Byron Haskin,Walter Brooke, ,,
1955,The Phantom from 10000 Leagues,Dan Milner,Kent Taylor, ,,
1955,Day the World Ended,Roger Corman,Richard Denning, ,,
1955,Godzilla Raids Again,Motoyoshi Oda,Hiroshi Koizumi, ,,
1955,It Came from Beneath the Sea,Robert Gordon,Kenneth Tobey, ,,
1955,King Dinosaur,Bert I. Gordon,Douglas Henderson, ,[8],
1955,Monster Snowman,Ishirō Honda,Akira Takarada, ,,
1955,The Quatermass Xperiment,Val Guest,Brian Donlevy, ,[nb 13],
1955,Revenge of the Creature,Jack Arnold,John Agar, ,,
1955,Tarantula,Jack Arnold,John Agar, ,,
1955,This Island Earth,Jack Arnold,Jeff Morrow, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
1956,Michael Anderson,Edmond O'Brien, ,,
1956,The Beast of Hollow Mountain,Edward Nassour,Guy Madison, ,,
1956,The Black Sleep,Reginald Le Borg,Basil Rathbone, ,,
1956,The Creature Walks Among Us,John Sherwood,Jeff Morrow, ,[10],
1956,Earth vs. the Flying Saucers,Fred Sears,Hugh Marlowe, ,,
1956,Fire Maidens from Outer Space,Cy Roth,Anthony Dexter, ,[nb 14],
1956,Forbidden Planet,Fred Wilcox,Walter Pidgeon, ,,
1956,The Gamma People,John Gilling,Paul Douglas, ,,
1956,Godzilla King of the Monsters!,Terrell O. Morse,Raymond Burr, ,,
1956,Indestructible Man,Jack Pollexfen,Lon Chaney Jr., ,,
1956,Invasion of the Body Snatchers,Don Siegel,Kevin McCarthy, ,,
1956,It Conquered the World,Roger Corman,Peter Graves, ,,
1956,The Man Who Turned to Stone,László Kardos,Victor Jory, ,-,
1956,The Mole People,Virgil Vogel,John Agar, ,,
1956,On the Threshold of Space,Robert D. Webb,Guy Madison, ,Techno-drama,
1956,Sora no Daikaijū Radon,Ishirō Honda,Kenji Sahara, ,[nb 15],
1956,Toward the Unknown,Mervyn LeRoy,William Holden, ,Techno-drama,
1956,Uchūjin Tokyo ni Arawaru,Koji Shima,Keizo Kawasaki, ,[nb 16],
1956,World Without End,Edward Bernds,Hugh Marlowe, ,,
1956,X the Unknown,Leslie Norman,Dean Jagger, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
1957,20 Million Miles to Earth,Nathan H. Juran,William Hopper, ,,
1957,The 27th Day,William Asher,Gene Barry, ,,
1957,She Devil,Kurt Neumann,Albert Dekker, ,,
1957,The Amazing Colossal Man,Bert I. Gordon,Glenn Langan, ,,
1957,The Astounding She-Monster,Ronnie Ashcroft,Jeanne Tatum, ,,
1957,Attack of the Crab Monsters,Roger Corman,Richard Garland, ,,
1957,Beginning of the End,Bert I. Gordon,Peter Graves, ,,
1957,The Black Scorpion,Edward Ludwig,Richard Denning, ,,
1957,The Brain from Planet Arous,Nathan H. Juran,John Agar, ,[10],
1957,The Cyclops,Bert I. Gordon,James Craig, ,,
1957,The Deadly Mantis,Nathan H. Juran,Craig Stevens, ,,
1957,From Hell It Came,Dan Milner,Tod Andrews, ,,
1957,The Giant Claw,Fred Sears,Jeff Morrow, ,,
1957,Half Human,Ishirō Honda,John Carradine, ,,
1957,The Incredible Shrinking Man,Jack Arnold,Grant Williams, ,[nb 17],
1957,Invasion of the Saucer Men,Edward L. Cahn,Steve Terrell, ,,
1957,The Invisible Boy,Herman Hoffman,Richard Eyer, ,,
1957,Kronos,Kurt Neumann,Jeff Morrow, ,,
1957,The Land Unknown,Virgil Vogel,Jock Mahoney, ,,
1957,The Monolith Monsters,John Sherwood,Grant Williams, ,,
1957,Monster from Green Hell,Kenneth G. Crane,Jim Davis, ,,
1957,The Monster That Challenged the World,Arnold Laven,Tim Holt, ,,
1957,The Mysterians,Ishirō Honda,Kenji Sahara, ,,
1957,The Night the World Exploded,Fred Sears,Kathryn Grant, ,,
1957,Not of This Earth,Roger Corman,Paul Birch, ,,
1957,Quatermass 2,Val Guest,Brian Donlevy, ,[nb 18],
1957,The Secret of Two Oceans,Konstantin Pipinashvili,Igor Vladimirov, ,[15],
1957,The Strange World of Planet X,Gilbert Gunn,Forrest Tucker, ,[nb 19],
1957,The Unearthly,Brooke Peters,John Carradine, ,,
1957,The Unknown Terror,Charles Marquis Warren,John Howard, ,,
1957,The Vampire,Paul Landres,John Beal, ,
year,Title,Director,Cast,Country,Subgenre/Notes,
1958,She Demons,Richard E. Cunha,Irish McCalla, ,,
1958,Attack of the 50 Foot Woman,Nathan H. Juran,Allison Hayes, ,,
1958,Attack of the Puppet People,Bert I. Gordon,John Agar, ,,
1958,The Blob,Irvin Shortess Yeaworth Jr.,Steve McQueen, ,,
1958,The Brain Eaters,Bruno Ve Sota,Ed Nelson, ,,
1958,The Colossus of New York,Eugène Lourié,Ross Martin, ,,
1958,The Day the Sky Exploded,Paolo Heusch,Paul Hubschmid, ,[nb 20],
1958,Doroga K Zvezdam,Pavel Klushantsev,Georgi Solovyov, ,[16],
1958,Earth vs. the Spider,Bert I. Gordon,Ed Kemmer, ,,
1958,The Electronic Monster,Montgomery Tully,Rod Cameron, ,[18],
1958,The Fabulous World of Jules Verne,Karel Zeman,Lubor Tokoš, ,,
1958,Fiend Without a Face,Arthur Crabtree,Kynaston Reeves, ,,
1958,The Fly,Kurt Neumann,Vincent Price, ,,
