x-coordinate,y-coordinate,Similarity_score
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9947038481979743
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRural,0.9956328254371528
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9981192516044144
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteSci-fiFalseisRural,0.9573326264234975
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9997327672853088
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteTRUESci-fiFalseisRuralTrue,0.9917040056651779
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9899918481649751
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9995272660149909
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9934058160096638
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9987824609849729
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralFalse,0.9962837827372604
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRural,0.9944337454647348
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9962875367239497
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.8950766801502086
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9981763350292007
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9973293190578815
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRural,0.9961756387590455
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRural,0.9888983932651265
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9937830198888791
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRural,0.9958450571640262
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9964713832337918
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteSci-fiFalseisRural,0.9434029903023265
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9979811501662232
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteTRUESci-fiFalseisRuralTrue,0.9956412354723038
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9877424887822691
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9973634956549638
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9959658347349358
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9970425287506214
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralFalse,0.9939802480913398
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRural,0.9941889745546557
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9985593834461987
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.910985093629096
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.997103257841353
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9935440043286479
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRural,0.9922337125081537
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRural,0.9903757593076926
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9903818802382242
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRural,0.9908125089267522
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9962900382376998
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteTRUESci-fiFalseisRuralTrue,0.9910914112193315
MeteoriteSci-fiFalseisRural,MeteoriteFALSESci-fiFalseisRuralTrue,0.9547418845112504
MeteoriteSci-fiFalseisRural,MeteoriteTRUESci-fiFalseisRuralTrue,0.9256297780672028
MeteoriteSci-fiFalseisRural,MeteoriteFALSESci-fiFalseisRuralTrue,0.9603544509914427
MeteoriteSci-fiFalseisRural,MeteoriteFALSESci-fiFalseisRuralTrue,0.9577845543679121
MeteoriteSci-fiFalseisRural,MeteoriteFALSESci-fiFalseisRuralTrue,0.9349711247129048
MeteoriteSci-fiFalseisRural,MeteoriteFALSESci-fiFalseisRuralTrue,0.9560947405509025
MeteoriteSci-fiFalseisRural,MeteoriteFALSESci-fiFalseisRuralFalse,0.9668030417702856
MeteoriteSci-fiFalseisRural,MeteoriteFALSESci-fiFalseisRural,0.9382090379971385
MeteoriteSci-fiFalseisRural,MeteoriteFALSESci-fiFalseisRuralTrue,0.9405542520618059
MeteoriteSci-fiFalseisRural,MeteoriteFALSESci-fiFalseisRuralTrue,0.7599945438049832
MeteoriteSci-fiFalseisRural,MeteoriteFALSESci-fiFalseisRuralTrue,0.9616503176418228
MeteoriteSci-fiFalseisRural,MeteoriteFALSESci-fiFalseisRuralTrue,0.9689661398595734
MeteoriteSci-fiFalseisRural,MeteoriteFALSESci-fiFalseisRural,0.9649775186673556
MeteoriteSci-fiFalseisRural,MeteoriteFALSESci-fiFalseisRural,0.9368967764725664
MeteoriteSci-fiFalseisRural,MeteoriteFALSESci-fiFalseisRuralTrue,0.9742971968863237
MeteoriteSci-fiFalseisRural,MeteoriteFALSESci-fiFalseisRural,0.973144030967839
MeteoriteSci-fiFalseisRural,MeteoriteFALSESci-fiFalseisRuralTrue,0.9550044514374831
MeteoriteSci-fiFalseisRural,MeteoriteTRUESci-fiFalseisRuralTrue,0.938635812675281
MeteoriteSci-fiFalseisRural,MeteoriteFALSESci-fiFalseisRuralFalse,0.9465060110410126
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteTRUESci-fiFalseisRuralTrue,0.991495772001339
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9899531981456771
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9995036356530803
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9938724971072169
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9981046972540449
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralFalse,0.9959031684475872
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRural,0.9949686762886406
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9955596867710823
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.8963795935368117
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9976447415647434
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9962237919936199
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRural,0.9956522432102847
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRural,0.989129737054013
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.992281214708201
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRural,0.9950258867025684
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9960655382737099
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteTRUESci-fiFalseisRuralTrue,0.9914076068819443
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralFalse,0.9975398977155018
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9982803296989475
MeteoriteTRUESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9847938573206394
MeteoriteTRUESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9916618526329678
MeteoriteTRUESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9973013935232107
MeteoriteTRUESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9939192946944306
MeteoriteTRUESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralFalse,0.9852621296803009
MeteoriteTRUESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRural,0.9931678438647963
MeteoriteTRUESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9976329495506608
MeteoriteTRUESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9421290577395162
MeteoriteTRUESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.987704730391499
MeteoriteTRUESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9869079147613761
MeteoriteTRUESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRural,0.9875860980384232
MeteoriteTRUESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRural,0.9938790579489518
MeteoriteTRUESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9845552560142145
MeteoriteTRUESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRural,0.9823575512637981
MeteoriteTRUESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.990813452337087
MeteoriteTRUESci-fiFalseisRuralTrue,MeteoriteTRUESci-fiFalseisRuralTrue,0.9900681811128609
MeteoriteTRUESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralFalse,0.9955437366108097
MeteoriteTRUESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9939009913254166
MeteoriteTRUESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralFalse,0.9933017622808058
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9930439854221282
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9903568160852496
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9919919937742557
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralFalse,0.9958674121213608
